,Name,Amari Bailey,Bojan Bogdanovic,Nic Claxton,Noah Clowney,Yongxi Cui,Dorian Finney-Smith,Killian Hayes,Cameron Johnson,Keon Johnson,Jaylen Martin,Tyrese Martin,Shake Milton,Dennis Schroder,Day'Ron Sharpe,Ben Simmons,Cam Thomas,Trendon Watford,Dariq Whitehead,Ziaire Williams,Jalen Wilson,Average
0,Amari Bailey,-1,28,20,24,20,21,25,20,8,21,16,24,8,17,28,20,25,33,16,21,20.79
1,Bojan Bogdanovic,28,-1,32,25,36,12,24,20,12,28,12,41,28,12,40,28,8,24,16,12,23.05
2,Nic Claxton,20,32,-1,36,16,32,8,20,28,12,16,17,36,32,32,36,36,24,24,32,25.74
3,Noah Clowney,24,25,36,-1,20,20,12,20,12,12,28,37,32,27,25,28,24,20,32,20,23.89
4,Yongxi Cui,20,36,16,20,-1,20,24,25,17,24,25,28,17,12,16,20,12,16,17,20,20.26
5,Dorian Finney-Smith,21,12,32,20,20,-1,17,32,28,21,16,12,20,40,24,20,36,36,20,48,25.0
6,Killian Hayes,25,24,8,12,24,17,-1,12,24,48,20,24,24,17,24,12,29,33,20,33,22.63
7,Cameron Johnson,20,20,20,20,25,32,12,-1,37,16,25,12,36,16,32,24,16,20,32,12,22.47
8,Keon Johnson,8,12,28,12,17,28,24,37,-1,20,33,24,44,28,12,20,28,24,44,28,24.79
9,Jaylen Martin,21,28,12,12,24,21,48,16,20,-1,16,36,16,9,16,32,13,28,8,28,21.26
10,Tyrese Martin,16,12,16,28,25,16,20,25,33,16,-1,12,44,32,16,12,39,16,44,32,23.89
11,Shake Milton,24,41,17,37,28,12,24,12,24,36,12,-1,8,8,21,21,8,12,20,8,19.63
12,Dennis Schroder,8,28,36,32,17,20,24,36,44,16,44,8,-1,32,36,4,32,16,45,28,26.63
13,Day'Ron Sharpe,17,12,32,27,12,40,17,16,28,9,32,8,32,-1,32,8,41,29,40,28,24.21
14,Ben Simmons,28,40,32,25,16,24,24,32,12,16,16,21,36,32,-1,21,16,8,28,24,23.74
15,Cam Thomas,20,28,36,28,20,20,12,24,20,32,12,21,4,8,21,-1,12,16,28,24,20.32
16,Trendon Watford,25,8,36,24,12,36,29,16,28,13,39,8,32,41,16,12,-1,25,32,41,24.89
17,Dariq Whitehead,33,24,24,20,16,36,33,20,24,28,16,12,16,29,8,16,25,-1,20,41,23.21
18,Ziaire Williams,16,16,24,32,17,20,20,32,44,8,44,20,45,40,28,28,32,20,-1,24,26.84
19,Jalen Wilson,21,12,32,20,20,48,33,12,28,28,32,8,28,28,24,24,41,41,24,-1,26.53
