,Name,Jaylen Brown,JD Davison,Sam Hauser,Jrue Holiday,Al Horford,Luke Kornet,Kristaps Porzingis,Payton Pritchard,Neemias Queta,Baylor Scheierman,Jaden Springer,Jayson Tatum,Xavier Tillman,Lonnie Walker IV,Jordan Walsh,Anton Watson,Derrick White,Average
0,Jaylen Brown,-1,28,24,20,24,24,21,13,12,8,20,20,12,19,24,12,24,19.06
1,JD Davison,28,-1,28,20,20,25,32,20,5,29,37,16,17,20,20,29,28,23.38
2,Sam Hauser,24,28,-1,36,36,24,32,16,12,12,16,40,8,21,32,24,24,24.06
3,Jrue Holiday,20,20,36,-1,33,16,16,23,12,16,12,25,24,44,29,28,16,23.12
4,Al Horford,24,20,36,33,-1,12,16,20,4,20,20,32,4,36,40,24,12,22.06
5,Luke Kornet,24,25,24,16,12,-1,8,12,33,25,29,24,28,20,20,29,21,21.88
6,Kristaps Porzingis,21,32,32,16,16,8,-1,36,8,20,20,16,20,24,16,24,16,20.31
7,Payton Pritchard,13,20,16,23,20,12,36,-1,12,20,28,12,24,16,20,32,8,19.5
8,Neemias Queta,12,5,12,12,4,33,8,12,-1,33,29,28,44,12,16,21,33,19.62
9,Baylor Scheierman,8,29,12,16,20,25,20,20,33,-1,36,16,21,16,16,29,29,21.62
10,Jaden Springer,20,37,16,12,20,29,20,28,29,36,-1,24,21,16,20,17,17,22.62
11,Jayson Tatum,20,16,40,25,32,24,16,12,28,16,24,-1,20,29,24,24,24,23.38
12,Xavier Tillman,12,17,8,24,4,28,20,24,44,21,21,20,-1,12,4,21,25,19.06
13,Lonnie Walker IV,19,20,21,44,36,20,24,16,12,16,16,29,12,-1,29,4,28,21.62
14,Jordan Walsh,24,20,32,29,40,20,16,20,16,16,20,24,4,29,-1,32,28,23.12
15,Anton Watson,12,29,24,28,24,29,24,32,21,29,17,24,21,4,32,-1,21,23.19
16,Derrick White,24,28,24,16,12,21,16,8,33,29,17,24,25,28,28,21,-1,22.12
