,Name,LaMelo Ball,Miles Bridges,Seth Curry,Moussa Diabate,Taj Gibson,Josh Green,DaQuan Jeffries,Tre Mann,Cody Martin,Vasilije Micic,Brandon Miller,Nick Richards,Tidjane Salaun,K.J. Simpson,Nick Smith Jr.,Duane Washington Jr.,Grant Williams,Mark Williams,Average
0,LaMelo Ball,-1,12,19,29,16,17,24,25,12,28,31,20,29,21,24,28,20,32,22.76
1,Miles Bridges,12,-1,28,16,33,16,32,8,36,13,16,20,8,12,25,16,16,20,19.24
2,Seth Curry,19,28,-1,24,24,20,29,16,32,16,32,29,28,12,12,29,25,17,23.06
3,Moussa Diabate,29,16,24,-1,24,17,16,13,20,24,20,20,13,21,42,20,24,8,20.65
4,Taj Gibson,16,33,24,24,-1,24,16,16,40,29,19,16,16,8,25,40,12,35,23.12
5,Josh Green,17,16,20,17,24,-1,8,29,24,24,12,12,29,21,24,20,20,28,20.29
6,DaQuan Jeffries,24,32,29,16,16,8,-1,12,4,24,29,44,16,20,16,32,24,9,20.88
7,Tre Mann,25,8,16,13,16,29,12,-1,24,32,16,16,44,44,12,24,24,16,21.82
8,Cody Martin,12,36,32,20,40,24,4,24,-1,25,40,32,8,4,25,8,24,4,21.29
9,Vasilije Micic,28,13,16,24,29,24,24,32,25,-1,12,16,20,16,37,24,16,32,22.82
10,Brandon Miller,31,16,32,20,19,12,29,16,40,12,-1,41,28,24,12,25,33,17,23.94
11,Nick Richards,20,20,29,20,16,12,44,16,32,16,41,-1,16,4,16,28,40,13,22.53
12,Tidjane Salaun,29,8,28,13,16,29,16,44,8,20,28,16,-1,47,28,28,16,12,22.71
13,K.J. Simpson,21,12,12,21,8,21,20,44,4,16,24,4,47,-1,20,12,32,32,20.59
14,Nick Smith Jr.,24,25,12,42,25,24,16,12,25,37,12,16,28,20,-1,8,31,24,22.41
15,Duane Washington Jr.,28,16,29,20,40,20,32,24,8,24,25,28,28,12,8,-1,28,29,23.47
16,Grant Williams,20,16,25,24,12,20,24,24,24,16,33,40,16,32,31,28,-1,13,23.41
17,Mark Williams,32,20,17,8,35,28,9,16,4,32,17,13,12,32,24,29,13,-1,20.06
