,Name,Devin Carter,Isaiah Crawford,Antoine Davis,DeMar DeRozan,Keon Ellis,De'Aaron Fox,Kevin Huerter,Colby Jones,Isaac Jones,Mason Jones,Alex Len,Trey Lyles,Doug McDermott,Jordan McLaughlin,Malik Monk,Keegan Murray,Shareef O'Neal,Orlando Robinson,Domantas Sabonis,Drew Timme,Average
0,Devin Carter,-1,16,8,16,12,40,25,25,28,24,36,24,16,24,24,24,20,20,20,29,22.68
1,Isaiah Crawford,16,-1,20,17,20,24,28,4,20,12,28,29,24,24,25,17,32,32,59,24,23.95
2,Antoine Davis,8,20,-1,20,29,16,24,20,13,29,8,16,37,28,16,12,13,29,28,16,20.11
3,DeMar DeRozan,16,17,20,-1,12,28,4,8,16,16,16,36,20,24,36,33,16,12,32,8,19.47
4,Keon Ellis,12,20,29,12,-1,16,16,16,36,21,20,24,29,37,36,12,21,44,20,16,23.0
5,De'Aaron Fox,40,24,16,28,16,-1,13,21,28,24,32,28,23,16,16,20,12,16,20,28,22.16
6,Kevin Huerter,25,28,24,4,16,13,-1,36,12,20,29,24,28,24,8,32,20,24,24,17,21.47
7,Colby Jones,25,4,20,8,16,21,36,-1,24,24,21,20,24,16,24,20,16,12,12,21,19.16
8,Isaac Jones,28,20,13,16,36,28,12,24,-1,29,12,8,40,32,20,16,20,36,20,24,22.84
9,Mason Jones,24,12,29,16,21,24,20,24,29,-1,20,12,29,17,20,12,28,21,8,16,20.11
10,Alex Len,36,28,8,16,20,32,29,21,12,20,-1,20,16,20,20,20,16,16,36,29,21.84
11,Trey Lyles,24,29,16,36,24,28,24,20,8,12,20,-1,20,28,25,33,28,20,28,12,22.89
12,Doug McDermott,16,24,37,20,29,23,28,24,40,29,16,20,-1,29,16,20,25,32,32,16,25.05
13,Jordan McLaughlin,24,24,28,24,37,16,24,16,32,17,20,28,29,-1,12,31,40,28,20,16,24.53
14,Malik Monk,24,25,16,36,36,16,8,24,20,20,20,25,16,12,-1,25,4,16,28,20,20.58
15,Keegan Murray,24,17,12,33,12,20,32,20,16,12,20,33,20,31,25,-1,32,8,13,16,20.84
16,Shareef O'Neal,20,32,13,16,21,12,20,16,20,28,16,28,25,40,4,32,-1,28,24,36,22.68
17,Orlando Robinson,20,32,29,12,44,16,24,12,36,21,16,20,32,28,16,8,28,-1,32,24,23.68
18,Domantas Sabonis,20,59,28,32,20,20,24,12,20,8,36,28,32,20,28,13,24,32,-1,28,25.47
19,Drew Timme,29,24,16,8,16,28,17,21,24,16,29,12,16,16,20,16,36,24,28,-1,20.84
