,Team,Players,Grade,Average,Max,Min,Median
0,SA,20,B,23.62,27.0,19.53,23.814999999999998
1,NO,17,B,22.77,25.5,19.19,23.12
2,MEM,21,B,22.9,25.95,19.3,23.1
3,HOU,18,B,22.93,26.41,18.35,23.5
4,DAL,17,B,22.3,26.88,17.75,22.5
5,WSH,21,B,22.36,24.9,18.55,22.6
6,ORL,21,B,23.84,27.95,20.25,23.6
7,MIA,21,B,23.92,27.45,21.4,23.4
8,CHA,18,B-,21.95,23.94,19.24,22.47
9,ATL,17,B,23.43,28.56,19.25,23.62
10,SAC,20,B,22.17,25.47,19.16,22.42
11,PHX,17,B,23.91,28.69,18.88,24.44
12,LAL,18,B,23.64,28.53,21.06,23.59
13,LAC,20,B,22.59,25.84,19.68,21.865000000000002
14,GS,19,B,22.99,25.72,19.0,23.06
15,UTAH,18,B,23.51,26.29,19.65,23.97
16,POR,17,B,22.62,26.5,18.19,22.81
17,OKC,18,B,22.67,25.82,20.65,22.384999999999998
18,MIN,18,B,22.18,24.47,19.24,22.415
19,DEN,18,B+,24.01,28.18,19.41,24.32
20,MIL,17,B,22.96,28.06,20.44,22.62
21,IND,17,B,22.33,24.38,19.0,22.38
22,DET,15,B,22.7,25.64,20.36,22.5
23,CLE,20,B,22.86,25.05,19.0,23.075000000000003
24,CHI,18,B,22.99,27.24,16.47,23.175
25,TOR,21,B,22.59,25.35,19.1,22.85
26,PHI,17,B,22.37,25.88,18.75,22.88
27,BOS,17,B-,21.75,24.06,19.06,22.06
28,BKN,20,B,23.49,26.84,19.63,23.814999999999998
29,NY,19,B-,21.97,24.44,18.44,22.39
